lon,lat,code_postal,ville,departement,nom_structure,adresse,url_lieu,source,url_illustration,code_access,code_label,code_accomp
5.912854,46.744318,39300,CHAMPAGNOLE,39,Point Information Jeunesse Champagnole,place de l'amitié,http://www.jeunes-fc.com/,,,,,
5.45412,46.393877,39320,VAL SURAN,39,Association développement Aménagement,16  place de la Mairie,,,,,,
5.683581,47.205195,39350,GENDREY,39,Médiathèque Jura-Nord,9 rue Richebourg,,,,,,
5.70477,46.990905,39380,CHAMBLAY,39,Facto Habilis,11 rue des Enclos,,,,,,
5.668356,46.994091,39380,OUNANS,39,MFS Val d'amour,11 route de Salins,,,,,,
6.020593,46.522651,39400,MOREZ,39,La Co-Workerie,8 rue de l'industrie,https://www.facebook.com/La-Co-Workerie-2280130755563839/,,,,,
5.934819,46.462631,39400,LONGCHAUMOIS,39,Médiathèque intercommunale Arcade,51 grande rue,http://morez.cyber-base.org/,,,,,
6.025381,46.52745,39400,MOREZ,39,MSAP Morez,23 avenue de la Libération,,,,,,
6.021657,46.520987,39400,MOREZ,39,Point Information Jeunesse Morez,10 quai Jobez,http://www.jeunes-fc.com/,,,,,
5.77023,46.905441,39600,ARBOIS,39,Eco Logik Art,35  rue de Courcelles,https://www.facebook.com/pg/Ecologikart,,,,,
5.772358,46.902668,39600,ARBOIS,39,MFS Arbois,10 Rue de l'Hôtel de ville,,,,,,
5.657127,47.147111,39700,ORCHAMPS,39,MSAP Orchamps,6 Rue Neuve,,,,,,
5.597825,46.868209,39800,BERSAILLIN,39,c.la cle administrative,13 route de Colonne - LE VISENEY,,,,,,
5.70868,46.835902,39800,POLIGNY,39,Couveuse Objectif Création,57 grande rue,,,,,,
5.708425,46.834197,39800,POLIGNY,39,Point Information Jeunesse de Poligny,20 place des déportés,http://www.ij39.com/,,,,,
3.186744,46.983958,58000,NEVERS,58,Acteurs solidaires en marche, Rue Louis-Francis,,Nièvre médiation numérique,,,,
3.163685,46.991503,58000,NEVERS,58,Association Nevers Libre,27B Rue Saint Etienne,https://nevers-libre.org,Nièvre médiation numérique,,,,
3.182181,46.987077,58000,NEVERS,58,Bureau Information Jeunesse de la Nièvre,5 Allée de la Louée,,Nièvre médiation numérique,,,,
3.156926,46.998945,58000,NEVERS,58,CAF de Nevers,83 Rue des Chauvettes,,Nièvre médiation numérique,,,,
3.158352,46.986867,58000,NEVERS,58,CCAS de Nevers,5 Rue de la Basilique,,Nièvre médiation numérique,,,,
3.132797,46.987892,58000,NEVERS,58,Centre des finances publiques de Nevers,19 rue Camille-Baynac,,Nièvre médiation numérique,,,,
3.156862,46.985739,58000,NEVERS,58,Club Léo Lagrange,15 Rue Albert-Morlon,,Nièvre médiation numérique,,,,
